ticker,drug_name,approval_date,approval_year,app_type_clean,approval_type_weight,drug_novelty_score,market_timing_factor,rss_score,finbert_compound,finbert_positive,finbert_negative,vader_compound,vader_pos,vader_neg,day_of_week,market_cap_category,prior_approvals_count,approval_quarter,return_1d,return_3d,return_7d,price_up_7d
LLY,Vellizumab,2021-07-18,2021,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,14,3,0.0,1.3453,3.8737,1.0
AMGN,Vellizumab,2018-11-27,2018,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.256,0.0,1,2,4,4,2.1918,5.6571,0.3349,1.0
ABBV,Duninib,2022-08-13,2022,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.181,0.0,5,3,19,3,0.0,0.1827,-1.3704,0.0
REGN,Dunumab,2021-04-30,2021,BLA,0.8,0.5,0.595,0.654,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,16,2,1.5209,1.5209,3.2101,1.0
AMGN,Narumab,2020-01-18,2020,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,10,1,0.0,0.0,-6.1658,0.0
BIIB,Ribafil,2023-08-10,2023,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.7003,0.309,0.0,3,2,17,3,1.7171,1.3677,-2.8098,0.0
GILD,Dunciclib,2019-10-09,2019,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.193,0.0,2,2,3,4,2.0652,4.082,5.4373,1.0
MRNA,Palvir,2023-08-24,2023,NDA,1.0,1.0,0.9,0.98,0.0,0.33,0.33,0.4767,0.181,0.0,3,1,20,3,-0.6391,1.0475,0.3728,1.0
AMGN,Tektinib,2021-09-25,2021,NDA,1.0,1.0,0.8,0.96,0.0,0.33,0.33,0.7003,0.309,0.0,5,2,20,3,0.0,-0.3941,-0.7836,0.0
JNJ,Paltinib,2023-05-10,2023,BLA,0.8,1.0,0.95,0.9,0.0,0.33,0.33,0.4767,0.171,0.0,2,3,29,2,-0.4083,-1.2991,-1.6455,0.0
BMY,Palvir,2022-02-09,2022,BLA,0.8,1.0,0.95,0.9,0.0,0.33,0.33,0.7003,0.309,0.0,2,2,12,1,-0.9384,-0.4915,0.6851,1.0
MRNA,Velafil,2020-09-22,2020,BLA,0.8,0.5,1.0,0.735,0.0,0.33,0.33,0.4767,0.193,0.0,1,1,12,3,-2.2701,1.0914,2.6193,1.0
GILD,Duntinib,2018-12-04,2018,BLA,0.8,0.5,1.0,0.735,0.0,0.33,0.33,0.4767,0.193,0.0,1,2,1,4,0.9202,-2.013,-2.6312,0.0
GILD,Narumab,2019-01-15,2019,NDA,1.0,0.5,1.0,0.825,0.0,0.33,0.33,0.4767,0.193,0.0,1,2,2,1,-1.2843,0.9633,0.0438,1.0
LLY,Veltinib,2023-07-21,2023,NDA,1.0,1.0,0.7,0.94,0.0,0.33,0.33,0.4767,0.162,0.0,4,3,23,3,-0.5887,-0.5887,-0.7705,0.0
BIIB,Ribmab,2019-01-27,2019,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.181,0.0,6,2,2,1,0.0,-0.6515,1.2303,1.0
BIIB,Tekciclib,2023-09-20,2023,NDA,1.0,1.0,0.95,0.99,0.0,0.33,0.33,0.7003,0.309,0.0,2,2,18,3,-0.6141,-2.1149,-1.1553,0.0
REGN,Tektinib,2019-05-18,2019,BLA,0.8,1.0,0.8,0.87,0.0,0.33,0.33,0.4767,0.181,0.0,5,2,5,2,0.0,2.4391,1.7715,1.0
JNJ,Zolmab,2022-04-20,2022,NDA,1.0,0.5,0.95,0.815,0.0,0.33,0.33,0.4767,0.181,0.0,2,3,20,2,-0.2882,1.1528,-0.9734,0.0
JNJ,Tekciclib,2019-05-18,2019,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.181,0.0,5,3,6,2,0.0,-0.2167,-0.2977,0.0
AMGN,Ribafil,2022-01-24,2022,BLA,0.8,0.5,0.9,0.715,0.0,0.33,0.33,0.4767,0.193,0.0,0,2,22,1,-0.46,-0.92,0.4689,1.0
AZN,Dunafil,2022-10-24,2022,NDA,1.0,0.5,0.99,0.823,0.0,0.33,0.33,0.4767,0.193,0.0,0,2,22,4,1.3048,4.4038,6.5785,1.0
BIIB,Tekmab,2021-03-29,2021,NDA,1.0,0.5,0.765,0.778,0.0,0.33,0.33,0.4767,0.193,0.0,0,2,9,1,-0.0253,0.9526,0.652,1.0
REGN,Narlizumab,2022-05-17,2022,BLA,0.8,1.0,1.0,0.91,0.0,0.33,0.33,0.7003,0.309,0.0,1,2,24,2,-1.2523,-0.9617,2.7653,1.0
REGN,Cirafil,2021-09-25,2021,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,21,3,0.0,-2.2728,-10.2816,0.0
GILD,Narciclib,2021-11-09,2021,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.193,0.0,1,2,14,4,1.7687,2.0106,1.1187,1.0
GILD,Velciclib,2019-12-11,2019,ANDA,0.3,0.0,0.95,0.325,0.0,0.33,0.33,0.4767,0.256,0.0,2,2,6,4,0.7148,-1.5339,-2.1891,0.0
PFE,Velximab,2019-11-15,2019,ANDA,0.3,0.0,0.77,0.289,0.0,0.33,0.33,0.7003,0.309,0.0,4,3,7,4,-0.161,-0.161,2.8165,1.0
ABBV,Zolvir,2021-02-10,2021,NDA,1.0,0.5,0.95,0.815,0.0,0.33,0.33,0.4767,0.193,0.0,2,3,11,1,-0.2883,0.1442,2.1528,1.0
REGN,Zoltinib,2022-06-25,2022,BLA,0.8,0.6,0.8,0.73,0.0,0.33,0.33,0.4767,0.256,0.0,5,2,26,2,0.0,-1.3247,-0.9695,0.0
BIIB,Mavafil,2019-10-04,2019,NDA,1.0,1.0,0.77,0.954,0.0,0.33,0.33,0.7003,0.309,0.0,4,2,4,4,1.3348,1.3348,-0.3527,0.0
PFE,Pallizumab,2022-07-20,2022,NDA,1.0,0.5,0.95,0.815,0.0,0.33,0.33,0.4767,0.181,0.0,2,3,17,3,0.5903,1.8693,2.2235,1.0
AMGN,Tekzumab,2021-12-10,2021,ANDA,0.3,0.0,0.7,0.275,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,21,4,0.2371,0.2371,5.5052,1.0
BIIB,Mavtinib,2019-02-05,2019,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.181,0.0,1,2,3,1,-1.1128,-6.4898,-5.2108,0.0
AZN,Zolciclib,2023-04-15,2023,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,24,2,0.0,1.8878,2.9608,1.0
BMY,Abazumab,2022-11-30,2022,ANDA,0.3,0.0,0.8883,0.3127,0.0,0.33,0.33,0.4767,0.193,0.0,2,2,16,4,0.7474,0.5232,-0.436,0.0
JNJ,Narumab,2023-01-18,2023,NDA,1.0,0.6,0.95,0.85,0.0,0.33,0.33,0.4767,0.237,0.0,2,3,26,1,-0.1355,-0.8541,-0.1473,0.0
LLY,Narciclib,2022-12-08,2022,BLA,0.8,1.0,0.9,0.89,0.0,0.33,0.33,0.4767,0.162,0.0,3,3,20,4,-2.9049,-1.2211,-3.1685,0.0
LLY,Tekvir,2022-06-23,2022,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.171,0.0,3,3,17,2,4.1251,4.6527,3.6806,1.0
AZN,Zollizumab,2023-08-12,2023,NDA,1.0,1.0,0.8,0.96,0.0,0.33,0.33,0.4767,0.181,0.0,5,2,27,3,0.0,-1.8775,-2.7668,0.0
BIIB,Ribzumab,2022-08-10,2022,ANDA,0.3,0.0,0.95,0.325,0.0,0.33,0.33,0.4767,0.181,0.0,2,2,14,3,-1.2758,0.6062,-1.5653,0.0
BMY,Zoltinib,2019-09-20,2019,ANDA,0.3,0.0,0.7,0.275,0.0,0.33,0.33,0.4767,0.181,0.0,4,2,6,3,-0.0989,-0.0989,-0.6921,0.0
BMY,Ribciclib,2018-09-11,2018,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.193,0.0,1,2,2,3,-0.2645,0.3306,1.6366,1.0
GILD,Palinib,2023-04-04,2023,NDA,1.0,1.0,1.0,1.0,0.0,0.33,0.33,0.7003,0.309,0.0,1,2,21,2,1.8631,0.5845,0.5114,1.0
